ticker,name,type,exchange,currency,sector,universe,asset_class
10X.AX,Exultant Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
14D.AX,1414 Degrees Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
1AD.AX,Adalta Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
1AE.AX,Aurora Energy Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
1AI.AX,Algorae Pharmaceuticals Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
1CG.AX,One Click Group Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
1MC.AX,Morella Corporation Limited,equity,Australia,AUD,Materials,asx_listed,Equities
1TT.AX,Thrive Tribe Technologies Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
29M.AX,29Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
360.AX,Life360 Inc.,equity,Australia,AUD,Information Technology,asx_listed,Equities
3DA.AX,Amaero Inc.,equity,Australia,AUD,Industrials,asx_listed,Equities
3DP.AX,Pointerra Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
3PL.AX,3P Learning Limited..,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
49M.AX,49 Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
4DS.AX,4Ds Memory Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
4DX.AX,4Dmedical Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
5GG.AX,Pentanet Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
5GN.AX,5G Networks Limited.,equity,Australia,AUD,Information Technology,asx_listed,Equities
6KA.AX,"6K Additive, Inc.",equity,Australia,AUD,Materials,asx_listed,Equities
88E.AX,88 Energy Limited,equity,Australia,AUD,Energy,asx_listed,Equities
8CO.AX,8Common Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
8IH.AX,8I Holdings Ltd,equity,Australia,AUD,Financials,asx_listed,Equities
A11.AX,Atlantic Lithium Limited,equity,Australia,AUD,Materials,asx_listed,Equities
A1M.AX,Aic Mines Limited,equity,Australia,AUD,Materials,asx_listed,Equities
A1N.AX,Arn Media Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
A2M.AX,The A2 Milk Company Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
A3D.AX,Aurora Labs Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
A4N.AX,Alpha Hpa Limited,equity,Australia,AUD,Materials,asx_listed,Equities
A8G.AX,Australasian Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AA2.AX,Ariana Resources Plc,equity,Australia,AUD,Materials,asx_listed,Equities
AAC.AX,Australian Agricultural Company Limited.,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
AAI.AX,Alcoa Corporation,equity,Australia,AUD,Materials,asx_listed,Equities
AAJ.AX,Aruma Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AAL.AX,Alfabs Australia Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AAM.AX,Aumega Metals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AAP.AX,Australian Agricultural Projects Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
AAR.AX,Astral Resources Nl,equity,Australia,AUD,Materials,asx_listed,Equities
AAU.AX,Antilles Gold Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ABB.AX,Aussie Broadband Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
ABE.AX,Australian Bond Exchange Holdings Limited,equity,Australia,AUD,Financials,asx_listed,Equities
ABG.AX,Abacus Group,equity,Australia,AUD,Real Estate,asx_listed,Equities
ABR.AX,Albright Metals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ABV.AX,Advanced Braking Technology Ltd,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ABX.AX,Abx Group Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ABY.AX,Adore Beauty Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ACE.AX,Acusensus Limited.,equity,Australia,AUD,Information Technology,asx_listed,Equities
ACF.AX,Acrow Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ACL.AX,Australian Clinical Labs Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ACM.AX,Australian Critical Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ACP.AX,Audalia Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ACQ.AX,Acorn Capital Investment Fund Limited,equity,Australia,AUD,,asx_listed,Equities
ACR.AX,Acrux Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ACS.AX,Accent Resources Nl,equity,Australia,AUD,Materials,asx_listed,Equities
ACU.AX,Acumentis Group Limited,equity,Australia,AUD,Real Estate,asx_listed,Equities
ACW.AX,Actinogen Medical Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AD1.AX,Adneo Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
AD8.AX,Audinate Group Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
ADC.AX,Acdc Metals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ADD.AX,Adavale Resources Limited,equity,Australia,AUD,Energy,asx_listed,Equities
ADH.AX,Adairs Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ADN.AX,Andromeda Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ADO.AX,Anteotech Ltd,equity,Australia,AUD,Health Care,asx_listed,Equities
ADR.AX,Adherium Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ADS.AX,Adslot Ltd.,equity,Australia,AUD,Information Technology,asx_listed,Equities
ADX.AX,Adx Energy Ltd,equity,Australia,AUD,Energy,asx_listed,Equities
ADY.AX,Admiralty Resources Nl.,equity,Australia,AUD,Materials,asx_listed,Equities
AEE.AX,Aura Energy Limited,equity,Australia,AUD,Energy,asx_listed,Equities
AEF.AX,Australian Ethical Investment Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AEG.AX,Aland Equity Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AEI.AX,Aeris Environmental Ltd,equity,Australia,AUD,Industrials,asx_listed,Equities
AEL.AX,Amplitude Energy Limited,equity,Australia,AUD,Energy,asx_listed,Equities
AEM.AX,Advanced Engineered Materials Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AER.AX,Aeeris Ltd,equity,Australia,AUD,Communication Services,asx_listed,Equities
AEU.AX,Atomic Eagle Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AEV.AX,Avenira Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AEVN.AX,Avenira Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AFA.AX,Asf Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AFG.AX,Australian Finance Group Ltd,equity,Australia,AUD,Financials,asx_listed,Equities
AFI.AX,Australian Foundation Investment Company Limited,equity,Australia,AUD,,asx_listed,Equities
AFL.AX,Af Legal Group Ltd,equity,Australia,AUD,Industrials,asx_listed,Equities
AFP.AX,Aft Pharmaceuticals Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AGC.AX,Australian Gold And Copper Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AGD.AX,Austral Gold Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AGE.AX,Alligator Energy Limited,equity,Australia,AUD,Energy,asx_listed,Equities
AGI.AX,Ainsworth Game Technology Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AGL.AX,Agl Energy Limited.,equity,Australia,AUD,Utilities,asx_listed,Equities
AGN.AX,Argenica Therapeutics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AGR.AX,Aguia Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AGY.AX,Argosy Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AHC.AX,Austco Healthcare Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AHE.AX,Adheris Health Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AHF.AX,Australian Dairy Nutritionals Limited,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
AHK.AX,Ark Mines Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AHL.AX,Adrad Holdings Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AHN.AX,Athena Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AI1.AX,Adisyn Ltd,equity,Australia,AUD,Information Technology,asx_listed,Equities
AIA.AX,Auckland International Airport Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AIH.AX,Advanced Innergy Holdings Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AIM.AX,Ai-Media Technologies Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
AIQ.AX,Alternative Investment Trust,equity,Australia,AUD,,asx_listed,Equities
AIS.AX,Aeris Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AIV.AX,Activex Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AIX.AX,Ai Private Opportunities Trust,equity,Australia,AUD,,asx_listed,Equities
AIZ.AX,Air New Zealand Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AJL.AX,Aj Lucas Group Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AJX.AX,Alexium International Group Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AKA.AX,Aureka Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AKG.AX,Academies Australasia Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AKM.AX,Aspire Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AKN.AX,Auking Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AKO.AX,Akora Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AL3.AX,Aml3D Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ALA.AX,Arovella Therapeutics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ALB.AX,Albion Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ALC.AX,Alcidion Group Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ALD.AX,Ampol Limited,equity,Australia,AUD,Energy,asx_listed,Equities
ALI.AX,Argo Global Listed Infrastructure Limited,equity,Australia,AUD,,asx_listed,Equities
ALK.AX,Alkane Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ALL.AX,Aristocrat Leisure Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ALM.AX,Alma Metals Limited,equity,Australia,AUD,Energy,asx_listed,Equities
ALQ.AX,Als Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ALR.AX,Altair Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ALU.AX,Alurion Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ALV.AX,Alvo Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ALX.AX,Atlas Arteria,equity,Australia,AUD,Industrials,asx_listed,Equities
ALY.AX,Alchemy Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AM3.AX,Amara Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AM5.AX,Antares Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AM7.AX,Arcadia Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AMA.AX,Ama Group Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AMC.AX,Amcor Plc,equity,Australia,AUD,Materials,asx_listed,Equities
AMD.AX,Arrow Minerals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AMH.AX,Amcil Limited,equity,Australia,AUD,,asx_listed,Equities
AMI.AX,Aurelia Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AMK.AX,Almasar Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AMN.AX,Agrimin Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AMO.AX,Ambertech Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
AMP.AX,Amp Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AMS.AX,Atomos Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AMU.AX,American Uranium Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AMX.AX,Aerometrex Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AN1.AX,Anagenics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ANG.AX,Austin Engineering Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ANN.AX,Ansell Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ANO.AX,Advance Zinctek Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ANR.AX,Anatara Lifesciences Ltd,equity,Australia,AUD,Health Care,asx_listed,Equities
ANX.AX,Anax Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ANZ.AX,Anz Group Holdings Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AOA.AX,Ausmon Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AOK.AX,Australian Oil Company Limited.,equity,Australia,AUD,Energy,asx_listed,Equities
AON.AX,Apollo Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AOV.AX,Amotiv Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
APA.AX,Apa Group,equity,Australia,AUD,Utilities,asx_listed,Equities
APC.AX,Apc Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
APE.AX,Eagers Automotive Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
APL.AX,Associate Global Partners Limited,equity,Australia,AUD,Financials,asx_listed,Equities
APW.AX,Aims Property Securities Fund,equity,Australia,AUD,Real Estate,asx_listed,Equities
APX.AX,Appen Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
APZ.AX,Aspen Group,equity,Australia,AUD,Real Estate,asx_listed,Equities
AQC.AX,Australian Pacific Coal Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AQD.AX,Ausquest Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AQN.AX,Aquirian Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AQX.AX,Alice Queen Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AQZ.AX,Alliance Aviation Services Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
